code_qua,NOM_QUA,NOM_CO
1320101,BELSUNCE,Marseille 1er Arrondissemen
1320102,CHAPITRE,Marseille 1er Arrondissemen
1320103,NOAILLES,Marseille 1er Arrondissemen
1320104,OPERA,Marseille 1er Arrondissemen
1320105,SAINT CHARLES,Marseille 1er Arrondissemen
1320106,THIERS,Marseille 1er Arrondissemen
1320201,ARENC,Marseille 2e Arrondissemen
1320202,GRANDS CARMES,Marseille 2e Arrondissemen
1320203,HOTEL DE VILLE,Marseille 2e Arrondissemen
1320204,LA JOLIETTE,Marseille 2e Arrondissemen
1320301,BELLE DE MAI,Marseille 3e Arrondissemen
1320302,SAINT LAZARE,Marseille 3e Arrondissemen
1320303,SAINT MAURON,Marseille 3e Arrondissemen
1320304,LA VILETTE,Marseille 3e Arrondissemen
1320401,LA BLANCARDE,Marseille 4e Arrondissemen
1320402,LES CHARTREUX,Marseille 4e Arrondissemen
1320403,CHUTES LAVIE,Marseille 4e Arrondissemen
1320404,CINQ AVENUES,Marseille 4e Arrondissemen
1320501,BAILLE,Marseille 5e Arrondissemen
1320502,LE CAMAS,Marseille 5e Arrondissemen
1320503,LA CONCEPTION,Marseille 5e Arrondissemen
1320504,SAINT PIERRE,Marseille 5e Arrondissemen
1320601,CASTELLANE,Marseille 6e Arrondissemen
1320602,LODI,Marseille 6e Arrondissemen
1320603,NOTRE DAME DU MONT,Marseille 6e Arrondissemen
1320604,PALAIS DE JUSTICE,Marseille 6e Arrondissemen
1320605,PREFECTURE,Marseille 6e Arrondissemen
1320606,VAUBAN,Marseille 6e Arrondissemen
1320701,BOMPARD,Marseille 7e Arrondissemen
1320702,ENDOUME,Marseille 7e Arrondissemen
1320703,ENDOUME,Marseille 7e Arrondissemen
1320704,LE PHARO,Marseille 7e Arrondissemen
1320705,ROUCAS BLANC,Marseille 7e Arrondissemen
1320706,SAINT LAMBERT,Marseille 7e Arrondissemen
1320707,SAINT VICTOR,Marseille 7e Arrondissemen
1320801,BONNEVEINE,Marseille 8e Arrondissemen
1320802,LES GOUDES,Marseille 8e Arrondissemen
1320803,MONTREDON,Marseille 8e Arrondissemen
1320804,PERIER,Marseille 8e Arrondissemen
1320805,LA PLAGE,Marseille 8e Arrondissemen
1320806,POINTE ROUGE,Marseille 8e Arrondissemen
1320807,LE ROUET,Marseille 8e Arrondissemen
1320808,SAINT GINIEZ,Marseille 8e Arrondissemen
1320809,SAINTE ANNE,Marseille 8e Arrondissemen
1320810,VIELLE CHAPELLE,Marseille 8e Arrondissemen
1320901,LES BAUMETTES,Marseille 9e Arrondissemen
1320902,LE CABOT,Marseille 9e Arrondissemen
1320903,CARPIAGNE,Marseille 9e Arrondissemen
1320904,MAZARGUES,Marseille 9e Arrondissemen
1320905,LA PANOUSE,Marseille 9e Arrondissemen
1320906,LE REDON,Marseille 9e Arrondissemen
1320907,SORMIOU,Marseille 9e Arrondissemen
1320908,SAINTE MARGUERITE,Marseille 9e Arrondissemen
1320909,VAUFREGES,Marseille 9e Arrondissemen
1321001,LA CAPELETTE,Marseille 10e Arrondissemen
1321002,MENPENTI,Marseille 10e Arrondissemen
1321003,PONT DE VIVAUX,Marseille 10e Arrondissemen
1321004,SAINT LOUP,Marseille 10e Arrondissemen
1321005,SAINT TRONC,Marseille 10e Arrondissemen
1321006,LA TIMONE,Marseille 10e Arrondissemen
1321101,LES ACCATES,Marseille 11e Arrondissemen
1321102,LA BARASSE,Marseille 11e Arrondissemen
1321103,LES CAMOINS,Marseille 11e Arrondissemen
1321104,EOURES,Marseille 11e Arrondissemen
1321105,LA MILLIERE,Marseille 11e Arrondissemen
1321106,LA POMME,Marseille 11e Arrondissemen
1321107,SAINT MARCEL,Marseille 11e Arrondissemen
1321108,SAINT MENET,Marseille 11e Arrondissemen
1321109,LA TREILLE,Marseille 11e Arrondissemen
1321110,LA VALBARELLE,Marseille 11e Arrondissemen
1321111,LA VALENTINE,Marseille 11e Arrondissemen
1321201,LES CAILLOLS,Marseille 12e Arrondissemen
1321202,LA FOURRAGERE,Marseille 12e Arrondissemen
1321203,MONTOLIVET,Marseille 12e Arrondissemen
1321204,SAINT BARNABE,Marseille 12e Arrondissemen
1321205,SAINT JEAN DU DESERT,Marseille 12e Arrondissemen
1321206,SAINT JULIEN,Marseille 12e Arrondissemen
1321207,LES TROIS LUCS,Marseille 12e Arrondissemen
1321301,CHATEAU-GOMBERT,Marseille 13e Arrondissemen
1321302,LA CROIX ROUGE,Marseille 13e Arrondissemen
1321303,MALPASSE,Marseille 13e Arrondissemen
1321304,LES MEDECINS,Marseille 13e Arrondissemen
1321305,LES MOURETS,Marseille 13e Arrondissemen
1321306,LES OLIVES,Marseille 13e Arrondissemen
1321307,PALAMA,Marseille 13e Arrondissemen
1321308,LA ROSE,Marseille 13e Arrondissemen
1321309,SAINT JEROME,Marseille 13e Arrondissemen
1321310,SAINT JUST,Marseille 13e Arrondissemen
1321311,SAINT MITRE,Marseille 13e Arrondissemen
1321401,LES ARNAVAUX,Marseille 14e Arrondissemen
1321402,BON SECOURS,Marseille 14e Arrondissemen
1321403,LE CANET,Marseille 14e Arrondissemen
1321404,LE MERLAN,Marseille 14e Arrondissemen
1321405,SAINT BARTHELEMY,Marseille 14e Arrondissemen
1321406,SAINT JOSEPH,Marseille 14e Arrondissemen
1321407,SAINTE MARTHE,Marseille 14e Arrondissemen
1321501,LES AYGALADES,Marseille 15e Arrondissemen
1321502,LES BORELS,Marseille 15e Arrondissemen
1321503,LA CABUCELLE,Marseille 15e Arrondissemen
1321504,LA CALADE,Marseille 15e Arrondissemen
1321505,LES CROTTES,Marseille 15e Arrondissemen
1321506,LA DELORME,Marseille 15e Arrondissemen
1321507,NOTRE DAME LIMITE,Marseille 15e Arrondissemen
1321508,SAINT ANTOINE,Marseille 15e Arrondissemen
1321509,SAINT LOUIS,Marseille 15e Arrondissemen
1321510,VERDURON,Marseille 15e Arrondissemen
1321511,LA VISTE,Marseille 15e Arrondissemen
1321601,L'ESTAQUE,Marseille 16e Arrondissemen
1321602,LES RIAUX,Marseille 16e Arrondissemen
1321603,SAINT ANDRE,Marseille 16e Arrondissemen
1321604,SAINT HENRI,Marseille 16e Arrondissemen
